-30e3    -5e3       0.0
-30e3    -10e3      0.0
-25e3    -5e3       0.0
-25e3    -10e3      0.0
-20e3    -5e3       0.0
-20e3    -10e3      0.0
-15e3    -5e3       0.0
-15e3    -10e3      0.0
-10e3    -5e3       0.0
-10e3    -10e3      0.0
-5e3     -5e3       0.0
-5e3     -10e3      0.0
0e3      -5e3       0.0
0e3      -10e3      0.0
5e3      -5e3       0.0
5e3      -10e3      0.0
10e3     -5e3       0.0
10e3     -10e3      0.0
15e3     -5e3       0.0
15e3     -10e3      0.0
20e3     -5e3       0.0
20e3     -10e3      0.0
25e3     -5e3       0.0
25e3     -10e3      0.0
30e3     -5e3       0.0
30e3     -10e3      0.0
5e3      2.5e3      0.0
-5e3     2.5e3      0.0
5e3      5e3        0.0
-5e3     5e3        0.0
5e3      10e3       0.0
-5e3     10e3       0.0
